scope,category_th,category_en,sub_category,resource,unit,ef_value,ref_source,ref_info,
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Acetelyne: kg,kg,3.384615385,,TGO,"2C2H2+502 → 4CO2+2H2O (MWC2H2 =26, MWCO2 =44)"
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Antracite: kg,kg,3.1078935,,TGO,"IPCC defaults (2006), volume 2, chapter 2, table 2.3,  p.2.18 - 2.19  และ Convert ค่าโดยอาศัยค่าคุณลักษณะเชื้อเพลิง"
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Baggasse,kg,0.014307,,TGO,"IPCC defaults (2006), volume 2, chapter 2, table 2.3,  p.2.18 - 2.19  และ Convert ค่าโดยอาศัยค่าคุณลักษณะเชื้อเพลิง"
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Biodiesel: L,Liter,1.64961846,,TGO,"IPCC defaults (2006), volume 2, chapter 2, table 2.3,  p.2.18 - 2.19  และ Convert ค่าโดยอาศัยค่าคุณลักษณะเชื้อเพลิง"
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Biogas,m3,0.001140685,,TGO,"IPCC defaults (2006), volume 2, chapter 2, table 2.3,  p.2.18 - 2.19  และ Convert ค่าโดยอาศัยค่าคุณลักษณะเชื้อเพลิง"
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Biogasollne (Ethanol),Liter,1.501920063,,TGO,"IPCC defaults (2006), volume 2, chapter 2, table 2.3,  p.2.18 - 2.19  และ Convert ค่าโดยอาศัยค่าคุณลักษณะเชื้อเพลิง"
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Bituminous Coal: kg,kg,2.512467675,,TGO,"IPCC defaults (2006), volume 2, chapter 2, table 2.3,  p.2.18 - 2.19  และ Convert ค่าโดยอาศัยค่าคุณลักษณะเชื้อเพลิง"
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Butane: kg,kg,3.034482759,,TGO,"2C4H10+ 1302 → 8CO2+10H2O (MWC4H10 =58, MWCO2 =44)"
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Charcoal,kg,0.054872,,TGO,"IPCC defaults (2006), volume 2, chapter 2, table 2.3,  p.2.18 - 2.19  และ Convert ค่าโดยอาศัยค่าคุณลักษณะเชื้อเพลิง"
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Cob,kg,0.031882,,TGO,"IPCC defaults (2006), volume 2, chapter 2, table 2.3,  p.2.18 - 2.19  และ Convert ค่าโดยอาศัยค่าคุณลักษณะเชื้อเพลิง"
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Coking Coal: kg,kg,2.632517325,,TGO,"IPCC defaults (2006), volume 2, chapter 2, table 2.3,  p.2.18 - 2.19  และ Convert ค่าโดยอาศัยค่าคุณลักษณะเชื้อเพลิง"
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Diesel B20,Liter,2.16718614,,TGO,"IPCC defaults (2006), volume 2, chapter 2, table 2.3,  p.2.18 - 2.19  และ Convert ค่าโดยอาศัยค่าคุณลักษณะเชื้อเพลิง"
