scope,category_th,category_en,sub_category,resource,unit,ef_value,id,ref_source
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Acetelyne: kg,kg,3.384615385,a036dd5f-3f1d-461c-8524-e359fb6a30fc,
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Antracite: kg,kg,3.1078935,07ff2490-4a54-493f-b641-93500f2a9231,
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Baggasse,kg,0.014307,e89738af-58fa-4981-bf87-d0b1b94f7206,
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Biodiesel: L,Liter,1.64961846,7005f3df-8d5b-46c8-abe1-e59805cd909e,
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Biogas,m3,0.001140685,afa240ae-39a5-4a1a-8c00-962f4bbd8f7a,
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Biogasollne (Ethanol),Liter,1.501920063,20f5b281-11e1-464b-86be-06ad28edea7a,
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Bituminous Coal: kg,kg,2.512467675,55ddffd5-a8f2-45d4-8cb8-7bcddb83ca11,
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Butane: kg,kg,3.034482759,5fc7da3a-4d6a-4402-b247-39302e3be12b,
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Charcoal,kg,0.054872,72500177-dd79-4ae0-8533-fdc63c7bcdc5,
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Cob,kg,0.031882,6e77e846-2e60-4c85-9537-3dff1716533e,
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Coking Coal: kg,kg,2.632517325,f20641d9-ae14-44ce-bbd2-779c5df5f0f8,
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Diesel B20,Liter,2.16718614,8427e165-4357-496f-84b1-e83808f2d90d,
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Diesel B7,Liter,2.518436988,d43e1aca-f6fd-4596-8a77-2a7878d6c4fa,
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Diesel: L,Liter,2.70757206,706a167f-1bba-4c1f-8793-43dc44f3a87a,
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Ethane: kg,kg,3.142857143,88b3afa9-0cbb-4207-ba9d-6e7e2e544be9,
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Fuel Oil A: L,Liter,3.219775405,1f9ee881-79bc-413e-be3d-f6574fcc4af1,
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Fuel Oil C: L,Liter,3.245497564,0e9c9d44-2b77-4284-8fda-6eee70ccb324,
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Fuel wood,kg,0.030381,ac6f2887-f342-4ae5-b4e1-84563ce117d3,
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Gasohol: E10,Liter,1.970806002,5ad6a896-860a-4e32-9668-61610e0f889b,
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Gasohol: E20,Liter,1.752398365,8227cfcc-5ac8-4d49-87f3-b8d796c4c49c,
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Gasohol: E85,Liter,0.3327487196,58cb9560-471b-4346-b9f0-0a31080a5d22,
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Gasoline: L,Liter,2.18921364,acebe8b2-d1fb-4414-88d5-0b00ad22a136,
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Jet Kerosene: L,Liter,2.47728579,ef741ebb-8d37-4e7b-88b9-36c3ad7cdf65,
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Lignite: kg,kg,1.20996225,e3d4b9fa-c563-4bee-9bdf-0e729ca0e2ff,
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,LPG: kg,kg,3.113282944,ed2bde3f-ef9c-42ea-9e88-60cf3f419b86,
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,LPG: litre,Liter,1.68117279,d8a3febb-9b8b-4f7f-bfde-946dfe3338fd,
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Natural Gas (HHV): MJ,MJ,0.050151666,88695dc5-c850-40b2-9693-c99b47777a16,
1,1) การเผาไหม้อยู่กับที่ (Stationary combustion),1) Stationary combustion,,Natural Gas (HHV): MMBTU,MMBTU,52.9545,69faaabc-9b47-4675-a6aa-49d50f811a88,
